seed,model_name,class_name,precision,recall,f1_score,support
4,decision_tree,CALI,0.9090909090909091,0.9202453987730062,0.9146341463414634,326.0
4,decision_tree,DERMASON,0.8850415512465374,0.9012693935119888,0.8930817610062893,709.0
4,decision_tree,HOROZ,0.940379403794038,0.9327956989247311,0.9365721997300944,372.0
4,decision_tree,SEKER,0.9093078758949881,0.9384236453201971,0.9236363636363636,406.0
4,decision_tree,SIRA,0.8416833667334669,0.7969639468690702,0.8187134502923976,527.0
4,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
4,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
4,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
4,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
4,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
4,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
4,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
4,mlp,BARBUNYA,0.9239543726235742,0.9169811320754717,0.9204545454545454,265.0
4,mlp,BOMBAY,1.0,1.0,1.0,104.0
4,mlp,CALI,0.9331306990881459,0.941717791411043,0.9374045801526718,326.0
4,mlp,DERMASON,0.922752808988764,0.926657263751763,0.9247009148486981,709.0
4,mlp,HOROZ,0.9592391304347826,0.9489247311827957,0.9540540540540541,372.0
4,mlp,SEKER,0.9441747572815534,0.958128078817734,0.9511002444987775,406.0
4,mlp,SIRA,0.8829174664107485,0.872865275142315,0.8778625954198473,527.0
4,random_forest,BARBUNYA,0.9215686274509803,0.8867924528301887,0.9038461538461539,265.0
4,random_forest,BOMBAY,1.0,1.0,1.0,104.0
4,random_forest,CALI,0.9186746987951807,0.9355828220858896,0.9270516717325228,326.0
4,random_forest,DERMASON,0.9078212290502793,0.9167842031029619,0.9122807017543859,709.0
4,random_forest,HOROZ,0.9616438356164384,0.9435483870967742,0.9525101763907734,372.0
4,random_forest,SEKER,0.9261904761904762,0.958128078817734,0.9418886198547215,406.0
4,random_forest,SIRA,0.8665377176015474,0.8500948766603416,0.8582375478927203,527.0
5,decision_tree,BARBUNYA,0.8947368421052632,0.8981132075471698,0.896421845574388,265.0
5,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
5,decision_tree,CALI,0.906060606060606,0.9171779141104295,0.9115853658536586,326.0
5,decision_tree,DERMASON,0.8917018284106891,0.8942172073342737,0.8929577464788733,709.0
5,decision_tree,HOROZ,0.9529085872576177,0.9247311827956989,0.9386084583901774,372.0
5,decision_tree,SEKER,0.9004739336492891,0.9359605911330049,0.9178743961352657,406.0
5,decision_tree,SIRA,0.8349514563106796,0.8159392789373814,0.8253358925143954,527.0
5,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
5,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
5,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
5,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
5,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
