comparison_type,method,model_name,display_name,selection_group,sample_id_a,sample_id_b,row_index_a,row_index_b,true_class_name_a,true_class_name_b,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13395,13457,1719,2148,DERMASON,DERMASON,0.8,0.6666666666666666,0.942857142857143,0.8991159159421197,0.8991159159421197
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13395,13499,1719,182,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8814563426347328,0.8814563426347328
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13395,13514,1719,54,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7216531696818598,0.7216531696818598
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13448,13457,2291,2148,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9999413628162134,0.9999413628162134
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13448,13499,2291,182,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8961449267642985,0.8961449267642985
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13448,13514,2291,54,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7471384627881058,0.7471384627881058
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13457,13499,2148,182,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8964672052873623,0.8964672052873623
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13457,13514,2148,54,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7448815508277276,0.7448815508277276
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13499,13514,182,54,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.73842563406052,0.73842563406052
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7426,7434,942,693,SIRA,SIRA,1.0,1.0,0.9999999999999999,0.9995077396993488,0.9995077396993488
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7426,7526,942,1439,SIRA,SIRA,1.0,1.0,0.9999999999999999,0.9997089135645483,0.9997089135645483
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7426,7568,942,1414,SIRA,SIRA,1.0,1.0,0.7,0.9854340291377423,0.9854340291377423
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7426,7604,942,217,SIRA,SIRA,0.4,0.25,-0.8,0.3180278872087146,0.3180278872087146
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7426,7683,942,2179,SIRA,SIRA,0.6,0.42857142857142855,-0.6,0.07100631312899124,0.5829677490425058
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7426,7761,942,21,SIRA,SIRA,0.6,0.42857142857142855,0.2,-0.05545490367240682,0.665086029186554
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7434,7526,693,1439,SIRA,SIRA,1.0,1.0,0.9999999999999999,0.998705138113576,0.998705138113576
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7434,7568,693,1414,SIRA,SIRA,1.0,1.0,0.7,0.9796954509777901,0.9796954509777901
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7434,7604,693,217,SIRA,SIRA,0.4,0.25,-0.8,0.3078406439621983,0.3078406439621983
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7434,7683,693,2179,SIRA,SIRA,0.6,0.42857142857142855,-0.6,0.06172191800899537,0.5884010619285734
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7434,7761,693,21,SIRA,SIRA,0.6,0.42857142857142855,0.2,-0.06676083758819217,0.6744939817323775
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7526,7568,1439,1414,SIRA,SIRA,1.0,1.0,0.7,0.9883005983508268,0.9883005983508268
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7526,7604,1439,217,SIRA,SIRA,0.4,0.25,-0.8,0.3257246871537072,0.3257246871537072
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7526,7683,1439,2179,SIRA,SIRA,0.6,0.42857142857142855,-0.6,0.08780294332724166,0.5860137746635049
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7526,7761,1439,21,SIRA,SIRA,0.6,0.42857142857142855,0.2,-0.03677921385483321,0.6644089460129582
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7568,7604,1414,217,SIRA,SIRA,0.4,0.25,-0.7000000000000001,0.3779458307689205,0.3779458307689205
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7568,7683,1414,2179,SIRA,SIRA,0.6,0.42857142857142855,-0.6545454545454545,0.14002005635475398,0.5578005244662493
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7568,7761,1414,21,SIRA,SIRA,0.6,0.42857142857142855,0.07272727272727272,0.024153351064576212,0.6121428110249212
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7604,7683,217,2179,SIRA,SIRA,0.6,0.42857142857142855,0.6909090909090909,0.7431442352602072,0.7431442352602072
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7604,7761,217,21,SIRA,SIRA,0.4,0.25,-0.25,0.4526348332448909,0.4526348332448909
within_selection_group,SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,7683,7761,2179,21,SIRA,SIRA,0.8,0.6666666666666666,-0.028571428571428574,0.805139715446365,0.805139715446365
within_selection_group,SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,2573,2590,192,960,BARBUNYA,BARBUNYA,0.8,0.6666666666666666,0.08571428571428573,0.7719873140398041,0.7719873140398041
within_selection_group,SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,2573,2591,192,66,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,-0.01818181818181818,0.598009709429333,0.598009709429333
within_selection_group,SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,2573,2790,192,126,BARBUNYA,BARBUNYA,0.8,0.6666666666666666,-0.08571428571428573,0.349748293175888,0.6573473096474185
within_selection_group,SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,2573,2883,192,553,BARBUNYA,BARBUNYA,1.0,1.0,0.7999999999999999,0.9850901657414083,0.9850901657414083
within_selection_group,SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,2573,3330,192,895,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,-0.6909090909090909,0.3501146939513402,0.3501146939513402
within_selection_group,SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,2590,2591,960,66,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.4363636363636364,0.8183566200190217,0.8183566200190217
within_selection_group,SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,2590,2790,960,126,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.09090909090909091,0.53234934483648,0.6492957976683598
